"","Sub family","Family","Superfamily","cite"
"1","L1PA15","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001413"
"2","L1PA14","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001414"
"3","L1PA13B","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001415"
"4","L1PA13A","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001416"
"5","L1PA12","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001417"
"6","L1PA10","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001419"
"7","L1PA8","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001421"
"8","L1PA7","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001422"
"9","L1PA6","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001423"
"10","L1PA5","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001424"
"11","L1PA2","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001427"
"12","L1PA1","L1","LINE-1","Khan, H., Smit, A., & Boissinot, S. (2006). Molecular evolution and tempo of amplification of human LINE-1 retrotransposons since the origin of primates. Genome research, 16(1), 78–87. https://doi.org/10.1101/gr.4001428"
"13","AluJ","Alu","SINE","1. Konkel, M. K., Walker, J. A., & Batzer, M. A. (2010). LINEs and SINEs of primate evolution. Evolutionary Anthropology, 19(6), 236–249. https://doi.org/10.1002/evan.20283 --- 2. Genome Res. 2004 Nov; 14(11) 2245-2252"
"14","AluS","Alu","SINE","1. Konkel, M. K., Walker, J. A., & Batzer, M. A. (2010). LINEs and SINEs of primate evolution. Evolutionary Anthropology, 19(6), 236–249. https://doi.org/10.1002/evan.20283 --- 2. Kapitonov V, Jurka J. The age of Alu subfamilies. J Mol Evol. 1996 Jan;42(1):59-65. doi: 10.1007/BF00163212. PMID: 8576965."
"15","AluY","Alu","SINE","1. Price, A. L., Eskin, E., & Pevzner, P. A. (2004). Whole-genome analysis of Alu repeat elements reveals complex evolutionary history. Genome research, 14(11), 2245–2252. https://doi.org/10.1101/gr.2693004 --- 2. 1. Konkel, M. K., Walker, J. A., & Batzer, M. A. (2010). LINEs and SINEs of primate evolution. Evolutionary Anthropology, 19(6), 236–249. https://doi.org/10.1002/evan.20283 --- 3. Liu, G. E., Alkan, C., Jiang, L., Zhao, S., & Eichler, E. E. (2009). Comparative analysis of Alu repeats in primate genomes. Genome research, 19(5), 876–885. https://doi.org/10.1101/gr.083972.108"
"16","SVA2","SVA","SVA (SINE-VNTR-Alu)","Kwak, Y., Kim, Yj., Xing, J. et al. Evolutionary fate of SVA2 elements in primate genomes. Genes Genom 37, 153–159 (2015). https://doi.org/10.1007/s13258-014-0241-6"
"17","SVA_A","SVA","SVA (SINE-VNTR-Alu)","1. Gianfrancesco, O., Geary, B., Savage, A. L., Billingsley, K. J., Bubb, V. J., & Quinn, J. P. (2019). The Role of SINE-VNTR-Alu (SVA) Retrotransposons in Shaping the Human Genome. International Journal of Molecular Sciences, 20(23), 5977. https://doi.org/10.3390/ijms20235977 --- 2. Wang, H., Xing, J., Grover, D., Hedges, D. J., Han, K., Walker, J. A., & Batzer, M. A. (2005). SVA elements: a hominid-specific retroposon family. Journal Of Molecular Biology, 354(4), 994-1007. https://doi.org/10.1016/j.jmb.2005.09.085"
"18","SVA_C","SVA","SVA (SINE-VNTR-Alu)","Wang, H., Xing, J., Grover, D., Hedges, D. J., Han, K., Walker, J. A., & Batzer, M. A. (2005). SVA elements: a hominid-specific retroposon family. Journal Of Molecular Biology, 354(4), 994-1007. https://doi.org/10.1016/j.jmb.2005.09.085"
"19","SVA_D","SVA","SVA (SINE-VNTR-Alu)","Wang, H., Xing, J., Grover, D., Hedges, D. J., Han, K., Walker, J. A., & Batzer, M. A. (2005). SVA elements: a hominid-specific retroposon family. Journal Of Molecular Biology, 354(4), 994-1007. https://doi.org/10.1016/j.jmb.2005.09.086"
"20","SVA_E","SVA","SVA (SINE-VNTR-Alu)","Wang, H., Xing, J., Grover, D., Hedges, D. J., Han, K., Walker, J. A., & Batzer, M. A. (2005). SVA elements: a hominid-specific retroposon family. Journal Of Molecular Biology, 354(4), 994-1007. https://doi.org/10.1016/j.jmb.2005.09.087"
"21","HERV-K","HERV-K","ERV","Reus, K., Mayer, J., Sauter, M., Zischler, H., Müller-Lantzsch, N., & Meese, E. (2001). HERV-K(OLD): ancestor sequences of the human endogenous retrovirus family HERV-K(HML-2). Journal of virology, 75(19), 8917–8926. https://doi.org/10.1128/JVI.75.19.8917-8926.2001"
"22","MER30","hAT","hAT","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"23","HSMAR1","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"24","MER75","piggyBac","piggyBac","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"25","Charlie3","hAT","hAT","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"26","MER1A","hAT","hAT","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"27","MER1B","hAT","hAT","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"28","HSMAR2","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"29","Tigger1","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"30","Tigger3b","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"31","Tigger2","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"32","Tigger2a","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"33","MER6A","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"34","MER44C","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"35","Tigger7","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"36","MER2B","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"37","MER44B","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"38","MER2","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
"39","MER8","mariner","Tc1/mariner","1. Pace JK 2nd, Feschotte C. The evolutionary history of human DNA transposons: evidence for intense activity in the primate lineage. Genome Res. 2007 Apr;17(4):422-32. doi: 10.1101/gr.5826307. Epub 2007 Mar 5. PMID: 17339369; PMCID: PMC1832089."
